config,session_id,query_id,best_gold_score,best_non_gold_score,hard_negative_margin
B1,S003,S003-Q084,0.5692150592803955,0.6378009915351868,-0.06858593225479126
B1,S003,S003-Q088,0.5972962975502014,0.663558304309845,-0.06626200675964355
B1,S003,S003-Q091,0.5633173584938049,0.6125664114952087,-0.04924905300140381
B1,S004,S004-Q007,0.5219652652740479,0.5514101386070251,-0.029444873332977295
B1,S004,S004-Q011,0.6627243161201477,0.6379860043525696,0.024738311767578125
B1,S004,S004-Q013,0.6303255558013916,0.681697428226471,-0.051371872425079346
B1,S004,S004-Q014,0.5719197392463684,0.631152331829071,-0.05923259258270264
B1,S004,S004-Q021,0.6053386926651001,0.644217312335968,-0.03887861967086792
B1,S004,S004-Q022,0.7186709046363831,0.6928098201751709,0.025861084461212158
B1,S004,S004-Q026,0.6852591633796692,0.748385488986969,-0.0631263256072998
B1,S004,S004-Q028,0.6880571246147156,0.6810184717178345,0.0070386528968811035
B1,S004,S004-Q033,0.6802994608879089,0.6927746534347534,-0.012475192546844482
B1,S004,S004-Q035,0.5835248231887817,0.6302862167358398,-0.046761393547058105
B1,S004,S004-Q039,0.5793532133102417,0.623450756072998,-0.04409754276275635
B1,S004,S004-Q042,0.5110262632369995,0.5664355158805847,-0.055409252643585205
B1,S004,S004-Q044,0.46543174982070923,0.4650438725948334,0.0003878772258758545
B1,S004,S004-Q049,0.5556396245956421,0.684360682964325,-0.12872105836868286
B1,S004,S004-Q052,0.6162037253379822,0.662239670753479,-0.046035945415496826
B1,S004,S004-Q055,0.5280501246452332,0.6279678344726562,-0.0999177098274231
B1,S004,S004-Q056,0.5398895740509033,0.6277911067008972,-0.0879015326499939
B1,S004,S004-Q063,0.5584845542907715,0.5938205122947693,-0.0353359580039978
B1,S004,S004-Q065,0.5512943267822266,0.6217914819717407,-0.07049715518951416
B1,S004,S004-Q066,0.4515754282474518,0.5216202735900879,-0.07004484534263611
B1,S004,S004-Q070,0.5444036722183228,0.6014150381088257,-0.05701136589050293
B1,S005,S005-Q007,0.5621393918991089,0.6115005612373352,-0.04936116933822632
B1,S005,S005-Q011,0.4843946695327759,0.5001826882362366,-0.015788018703460693
B1,S005,S005-Q013,0.5396221876144409,0.5129119157791138,0.02671027183532715
B1,S005,S005-Q014,0.47026777267456055,0.47170963883399963,-0.001441866159439087
B1,S005,S005-Q021,0.579953134059906,0.6215330362319946,-0.04157990217208862
B1,S005,S005-Q022,0.6056334376335144,0.6492918729782104,-0.043658435344696045
B1,S005,S005-Q026,0.5908970236778259,0.6102370619773865,-0.019340038299560547
B1,S005,S005-Q028,0.5992904901504517,0.6301368474960327,-0.030846357345581055
B1,S005,S005-Q033,0.6083223819732666,0.6193806529045105,-0.011058270931243896
B1,S005,S005-Q035,0.5792565941810608,0.6058399081230164,-0.026583313941955566
B1,S005,S005-Q039,0.5511752963066101,0.599274218082428,-0.04809892177581787
B1,S005,S005-Q042,0.6181218028068542,0.6405819654464722,-0.02246016263961792
B1,S005,S005-Q044,0.5914561152458191,0.6453047394752502,-0.05384862422943115
B1,S005,S005-Q049,0.593082845211029,0.5931574702262878,-7.462501525878906e-05
B1,S005,S005-Q052,0.5935192704200745,0.621521532535553,-0.028002262115478516
B1,S005,S005-Q055,0.5337045788764954,0.5416368246078491,-0.00793224573135376
B1,S005,S005-Q056,0.5499580502510071,0.6140207648277283,-0.06406271457672119
B2,S001,S001-Q007,0.52052241563797,0.5796942710876465,-0.059171855449676514
B2,S001,S001-Q011,0.5065226554870605,0.5297943353652954,-0.023271679878234863
B2,S001,S001-Q013,0.5723989605903625,0.5858820080757141,-0.013483047485351562
B2,S001,S001-Q014,0.5911019444465637,0.5951688885688782,-0.004066944122314453
B2,S001,S001-Q021,0.584445059299469,0.6314330697059631,-0.04698801040649414
B2,S001,S001-Q022,0.5837623476982117,0.6212958097457886,-0.037533462047576904
B2,S001,S001-Q026,0.5876444578170776,0.6288158297538757,-0.041171371936798096
B2,S001,S001-Q028,0.5151382088661194,0.546989381313324,-0.03185117244720459
B2,S001,S001-Q033,0.5063844919204712,0.5851485133171082,-0.07876402139663696
B2,S001,S001-Q035,0.49994415044784546,0.5556876063346863,-0.05574345588684082
B2,S001,S001-Q039,0.4858923554420471,0.5197086930274963,-0.03381633758544922
B2,S001,S001-Q042,0.5035018920898438,0.5317614674568176,-0.028259575366973877
B2,S001,S001-Q044,0.4447912871837616,0.4604629576206207,-0.01567167043685913
B2,S001,S001-Q049,0.5625361800193787,0.6222997307777405,-0.059763550758361816
B2,S002,S002-Q007,0.49356576800346375,0.4996025860309601,-0.006036818027496338
B2,S002,S002-Q011,0.42980286478996277,0.4345516562461853,-0.004748791456222534
B2,S002,S002-Q013,0.4508603811264038,0.4732378125190735,-0.022377431392669678
B2,S002,S002-Q014,0.5006836652755737,0.5153563618659973,-0.014672696590423584
B2,S002,S002-Q021,0.5730500817298889,0.6261358261108398,-0.05308574438095093
B2,S002,S002-Q022,0.6457966566085815,0.6628445386886597,-0.017047882080078125
B2,S002,S002-Q026,0.5783213376998901,0.5992807745933533,-0.020959436893463135
B2,S002,S002-Q028,0.6438785195350647,0.6590756177902222,-0.01519709825515747
B2,S002,S002-Q033,0.6477546095848083,0.6335120797157288,0.01424252986907959
B2,S002,S002-Q035,0.5764598846435547,0.626525342464447,-0.050065457820892334
B2,S002,S002-Q039,0.6056894063949585,0.6157540082931519,-0.01006460189819336
B2,S002,S002-Q042,0.6099085807800293,0.6810123920440674,-0.07110381126403809
B2,S002,S002-Q044,0.6291329264640808,0.6653904914855957,-0.03625756502151489
B2,S002,S002-Q049,0.5656440258026123,0.6084005832672119,-0.04275655746459961
B2,S002,S002-Q052,0.5856894254684448,0.5977996587753296,-0.012110233306884766
B2,S002,S002-Q055,0.5771189332008362,0.6182356476783752,-0.04111671447753906
B2,S002,S002-Q056,0.4110525846481323,0.48901912569999695,-0.07796654105186462
B2,S002,S002-Q063,0.6139142513275146,0.66145920753479,-0.04754495620727539
B2,S002,S002-Q065,0.5872635245323181,0.6159436702728271,-0.028680145740509033
B2,S002,S002-Q066,0.5962339639663696,0.6026274561882019,-0.006393492221832275
B2,S002,S002-Q070,0.4834864139556885,0.5629214644432068,-0.07943505048751831
B2,S003,S003-Q007,0.48588475584983826,0.5320519208908081,-0.04616716504096985
B2,S003,S003-Q011,0.5596959590911865,0.5787786245346069,-0.01908266544342041
B2,S003,S003-Q013,0.4617074429988861,0.5027804970741272,-0.04107305407524109
B2,S003,S003-Q014,0.6104826331138611,0.5880659818649292,0.022416651248931885
B2,S003,S003-Q021,0.668713390827179,0.6979944109916687,-0.029281020164489746
B2,S003,S003-Q022,0.5823767781257629,0.5736361742019653,0.008740603923797607
B2,S003,S003-Q026,0.6255618333816528,0.6681336164474487,-0.0425717830657959
B2,S003,S003-Q028,0.5586283802986145,0.5694591999053955,-0.010830819606781006
B2,S003,S003-Q033,0.5841668248176575,0.6551263332366943,-0.07095950841903687
B2,S003,S003-Q035,0.5169949531555176,0.5817455053329468,-0.0647505521774292
B2,S003,S003-Q039,0.6184527277946472,0.656040608882904,-0.037587881088256836
B2,S003,S003-Q042,0.49404919147491455,0.5574541687965393,-0.06340497732162476
B2,S003,S003-Q044,0.5273284316062927,0.5626665949821472,-0.03533816337585449
B2,S003,S003-Q049,0.5138110518455505,0.6078740954399109,-0.09406304359436035
B2,S003,S003-Q052,0.6359119415283203,0.6639009714126587,-0.02798902988433838
B2,S003,S003-Q055,0.5347879528999329,0.6107351779937744,-0.07594722509384155
B2,S003,S003-Q056,0.519047737121582,0.5495014190673828,-0.03045368194580078
B2,S003,S003-Q063,0.5225228667259216,0.5807549953460693,-0.058232128620147705
B2,S003,S003-Q065,0.5497912168502808,0.6022619605064392,-0.05247074365615845
B2,S003,S003-Q066,0.5258733630180359,0.5465824007987976,-0.02070903778076172
B2,S003,S003-Q070,0.5521788597106934,0.5759101510047913,-0.0237312912940979
B2,S003,S003-Q077,0.6489662528038025,0.6702062487602234,-0.0212399959564209
B2,S003,S003-Q078,0.5722725987434387,0.5968931317329407,-0.024620532989501953
B2,S003,S003-Q084,0.5689761638641357,0.6303688883781433,-0.06139272451400757
B2,S003,S003-Q088,0.5938752889633179,0.661956787109375,-0.06808149814605713
B2,S003,S003-Q091,0.5571249723434448,0.6085825562477112,-0.05145758390426636
B2,S004,S004-Q007,0.5074654817581177,0.535581648349762,-0.028116166591644287
B2,S004,S004-Q011,0.6459737420082092,0.615768313407898,0.03020542860031128
B2,S004,S004-Q013,0.6079288721084595,0.6665580868721008,-0.05862921476364136
B2,S004,S004-Q014,0.5554011464118958,0.6196179389953613,-0.06421679258346558
B2,S004,S004-Q021,0.5841787457466125,0.6254136562347412,-0.04123491048812866
B2,S004,S004-Q022,0.7010502219200134,0.6722939014434814,0.028756320476531982
B2,S004,S004-Q026,0.6553331017494202,0.7250072360038757,-0.06967413425445557
B2,S004,S004-Q028,0.6616859436035156,0.657443642616272,0.004242300987243652
B2,S004,S004-Q033,0.6672840118408203,0.6799688935279846,-0.012684881687164307
B2,S004,S004-Q035,0.564410924911499,0.6178461909294128,-0.05343526601791382
B2,S004,S004-Q039,0.5565983653068542,0.6070882678031921,-0.05048990249633789
B2,S004,S004-Q042,0.5018143653869629,0.5528674125671387,-0.05105304718017578
