Add 方式,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add（仅当前 User + Assistant）,S003,S003-Q055,cfed691e-e124-5684-bec0-0e8c33869733,710,512,True,611,510,41,0,56,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q056,3e1cec0a-77e2-5463-865e-1f49b78e966c,437,437,False,344,344,44,44,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q057,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,284,284,False,198,198,43,43,41,41,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q058,ad470150-cd72-5d94-9d96-467573c4b92b,432,432,False,342,342,41,41,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q059,6f9e1be3-446d-5862-81d1-54c475413106,327,327,False,240,240,42,42,43,43,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q060,aadad3af-5031-5281-97f7-ee1897f7e7a7,469,469,False,366,366,44,44,57,57,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q061,00f1892f-503a-5094-b7b1-b6dc6688a1e4,309,309,False,216,216,40,40,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q062,e6b075df-0710-53c0-a850-a6bc715553b6,501,501,False,407,407,44,44,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q063,3d0fd2e7-51f7-5c7b-987f-07f1185ddcae,433,433,False,342,342,41,41,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q064,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,416,416,False,328,328,41,41,45,45,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q065,7a01132c-40cf-51c3-9d47-811e696bd29c,523,512,True,427,427,45,45,49,38,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q066,70584af0-da6d-5ee7-9e7c-ad3f962ef545,402,402,False,306,306,44,44,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q067,21f9ae05-f6a0-5cc5-af10-142d014dcf11,402,402,False,309,309,38,38,53,53,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q068,467b36fc-c77c-535b-bf26-e3eb45eb13bd,477,477,False,385,385,43,43,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q069,04d07215-21cd-5045-831c-4e47a6fc6d37,383,383,False,292,292,42,42,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q070,4b7d4f56-79e6-586a-8a09-c70fb207dda9,768,512,True,675,510,39,0,52,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q071,96af7f08-1678-5164-9e1e-935a577a7d1b,552,512,True,442,442,49,49,59,19,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q072,ccf27b0e-2667-569f-9c15-552ac429b180,301,301,False,224,224,47,47,28,28,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q073,2fdaac5c-103c-5100-8480-7d15511a3658,626,512,True,532,510,41,0,51,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q074,5a497718-c3f2-535a-82ec-c58ab46a1e18,216,216,False,128,128,41,41,45,45,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q075,940de09d-d4f8-5636-8091-09583b94a668,347,347,False,257,257,43,43,45,45,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q076,f8a82be9-6f48-5dfb-b924-c74f72770e6c,384,384,False,296,296,38,38,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q077,e732511e-b0fe-5c66-8778-0235ad67b308,561,512,True,469,469,44,41,46,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q078,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,569,512,True,472,472,45,38,50,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q079,68d070f4-4242-579d-b5a8-83f3dc6283b3,458,458,False,370,370,40,40,46,46,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q080,c027f905-aa4f-57f5-baf6-36d397160620,407,407,False,313,313,42,42,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q081,55fa1f65-ad74-5d1c-aafd-00013a0a4724,383,383,False,292,292,38,38,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q082,1958df93-850e-5159-a3f2-9fa2bd4b26bd,570,512,True,477,477,42,33,49,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q083,6f87cd79-b136-58c6-b1dc-63adee52a9c0,528,512,True,436,436,47,47,43,27,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S003,S003-Q084,dc75d4a6-dbec-512b-bed7-4048466382c6,406,406,False,306,306,48,48,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q085,ff75fe78-c1af-5b7a-a243-9648b6132a06,345,345,False,258,258,38,38,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q086,3ea1312b-2cc6-53f3-be4d-3ce6db813e56,356,356,False,265,265,42,42,47,47,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q087,138590ee-f1ad-552b-9655-ff727e22c72a,354,354,False,264,264,37,37,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q088,a1b1095c-6b15-5cb5-885e-e4b0f49ab01c,432,432,False,341,341,41,41,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q089,a430481a-3584-5aa7-9481-a18f5f205c42,507,507,False,408,408,48,48,49,49,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S003,S003-Q090,dd0108d6-a45a-5d6d-97cd-d1fbcd7160c5,376,376,False,288,288,46,46,40,40,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q001,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,580,512,True,494,494,43,16,41,0,FULLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q002,f3e1812a-c8a3-560c-8424-84d252ae452f,577,512,True,477,477,41,33,57,0,FULLY_TRUNCATED
