scheme_id,candidate_id,input_id,session_id,session_code,query_id,repeat,measurement_reused_for_identical_chain,candidate_generation_ms,packing_ms,reranker_ms,total_e2e_ms
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q033,1,True,172.05502699653152,0.09040000441018492,9533.821037999587,9705.978265003068
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q035,1,False,195.05647500045598,0.08960100240074098,11082.475946997874,11277.63372300251
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q035,1,False,348.76177400292363,0.13159999798517674,10437.963834992843,10786.880008992739
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q035,1,True,195.05647500045598,0.08960100240074098,11082.475946997874,11277.63372300251
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q039,1,False,155.18458301085047,0.1546989951748401,8079.9910039932,8235.354985998129
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q039,1,False,431.08100100653246,0.1337990106549114,8445.505439012777,8876.750138006173
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q039,1,True,155.18458301085047,0.1546989951748401,8079.9910039932,8235.354985998129
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q042,1,False,318.3474160032347,0.17289900279138237,9892.324697997537,10210.87671200803
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q042,1,False,176.00978800328448,0.07890100823715329,9872.593114996562,10048.697003992856
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q042,1,True,318.3474160032347,0.17289900279138237,9892.324697997537,10210.87671200803
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q044,1,False,145.5503610050073,0.09010000212583691,9860.013932993752,10005.66499400884
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q044,1,False,208.78282099147327,0.07640001422259957,9996.106163001969,10204.977884000982
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q044,1,True,145.5503610050073,0.09010000212583691,9860.013932993752,10005.66499400884
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q049,1,False,286.6890860022977,0.11729900143109262,8773.527220997494,9060.347906008246
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q049,1,False,188.74555799993686,0.07349999214056879,9099.619351996807,9288.45060999447
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q049,1,True,286.6890860022977,0.11729900143109262,8773.527220997494,9060.347906008246
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q052,1,False,167.30485500011127,0.3972020058427006,8133.174424001481,8300.897080989671
D1_BEST_INPUT_FIX,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S002-Q052,1,False,164.16363600001205,0.07560101221315563,8788.067801011493,8952.323538003839
D2_BEST_CANDIDATE_INPUT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q052,1,True,167.30485500011127,0.3972020058427006,8133.174424001481,8300.897080989671
D0_CURRENT_FROZEN_QUALITY,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S002-Q055,1,False,313.37987100414466,0.09099999442696571,8732.898863003356,9046.38473399973
