session_id,query_id,score_type,best_gold_score,strongest_nongold_score,margin,positive_margin
S001,S001-Q035,Relation cosine,0.6137167581150984,0.6504780054092407,-0.03676124729414232,False
S001,S001-Q035,Field-aware final,0.4697712017740817,0.5486936131783303,-0.0789224114042486,False
S001,S001-Q039,C3 Dense,0.520713210105896,0.5090011358261108,0.011712074279785156,True
S001,S001-Q039,Task cosine,0.5287435054779053,0.6299684423189427,-0.1012249368410374,False
S001,S001-Q039,Fact cosine,0.4482439129497953,0.4692702293395996,-0.02102631638980429,False
S001,S001-Q039,Relation cosine,0.6291054487228394,0.6658744016810895,-0.03676895295825011,False
S001,S001-Q039,Field-aware final,0.5089844404153251,0.5657879025928603,-0.05680346217753518,False
S001,S001-Q042,C3 Dense,0.516326904296875,0.563481867313385,-0.04715496301651001,False
S001,S001-Q042,Task cosine,0.5925068259239197,0.6513683795928955,-0.05886155366897583,False
S001,S001-Q042,Fact cosine,0.4335106869644336,0.5086360876939349,-0.07512540072950125,False
S001,S001-Q042,Relation cosine,0.5187581777572632,0.6334951519966125,-0.11473697423934937,False
S001,S001-Q042,Field-aware final,0.514158640706794,0.568444454465196,-0.054285813758402024,False
S001,S001-Q044,C3 Dense,0.41738826036453247,0.45116180181503296,-0.03377354145050049,False
S001,S001-Q044,Task cosine,0.5588834285736084,0.5695403218269348,-0.010656893253326416,False
S001,S001-Q044,Fact cosine,0.35502364367387557,0.3578935776885496,-0.002869934014674058,False
S001,S001-Q044,Relation cosine,0.4870896629744567,0.4697618168450485,0.017327846129408242,True
S001,S001-Q044,Field-aware final,0.46298076149388495,0.45148416818545134,0.011496593308433611,True
S001,S001-Q049,C3 Dense,0.6024776697158813,0.6400735378265381,-0.03759586811065674,False
S001,S001-Q049,Task cosine,0.6488795667218904,0.7791716920835788,-0.13029212536168844,False
S001,S001-Q049,Fact cosine,0.4447955125326529,0.48986396072673327,-0.045068448194080346,False
S001,S001-Q049,Relation cosine,0.4692202769780489,0.5606107784045671,-0.09139050142651817,False
S001,S001-Q049,Field-aware final,0.5313140870974271,0.5838188159325362,-0.05250472883510904,False
S002,S002-Q007,C3 Dense,0.37535619735717773,0.40759894251823425,-0.03224274516105652,False
S002,S002-Q007,Task cosine,0.41390957915243975,0.4561172425746918,-0.04220766342225202,False
S002,S002-Q007,Fact cosine,0.45871662847498823,0.4496519863605499,0.009064642114438304,True
S002,S002-Q007,Relation cosine,0.6133056052509311,0.6081505417823792,0.00515506346855199,True
S002,S002-Q007,Field-aware final,0.4717116041011574,0.4698647618293762,0.0018468422717812238,True
S002,S002-Q011,C3 Dense,0.3698793947696686,0.38297322392463684,-0.013093829154968262,False
S002,S002-Q011,Task cosine,0.5188315510749817,0.5735464096069336,-0.054714858531951904,False
S002,S002-Q011,Fact cosine,0.4042426347732544,0.403992235660553,0.000250399112701416,True
S002,S002-Q011,Relation cosine,0.4850290706771058,0.5134579845343819,-0.028428913857276028,False
S002,S002-Q011,Field-aware final,0.46623548847471563,0.4891166509802102,-0.022881162505494546,False
S002,S002-Q013,C3 Dense,0.3781711459159851,0.419230580329895,-0.04105943441390991,False
S002,S002-Q013,Task cosine,0.4860752522945404,0.6004539132118225,-0.1143786609172821,False
S002,S002-Q013,Fact cosine,0.3171995173215578,0.3244544461044339,-0.007254928782876091,False
S002,S002-Q013,Relation cosine,0.48784929513931274,0.5394376516342163,-0.051588356494903564,False
S002,S002-Q013,Field-aware final,0.41887976687430184,0.46140270977043774,-0.042522942896135896,False
S002,S002-Q014,C3 Dense,0.47782114148139954,0.5234560966491699,-0.045634955167770386,False
S002,S002-Q014,Task cosine,0.5295553207397461,0.6140468120574951,-0.08449149131774902,False
S002,S002-Q014,Fact cosine,0.5036745967671035,0.507186621855892,-0.003512025088788562,False
S002,S002-Q014,Relation cosine,0.4990137815475464,0.5280072689056396,-0.02899348735809326,False
S002,S002-Q014,Field-aware final,0.5130947233122491,0.5529293538853317,-0.03983463057308256,False
S002,S002-Q021,C3 Dense,0.6479976177215576,0.6961311101913452,-0.0481334924697876,False
S002,S002-Q021,Task cosine,0.44313376803003357,0.8582815443445172,-0.41514777631448363,False
S002,S002-Q021,Fact cosine,0.7601697444915771,0.7611231803894043,-0.0009534358978271484,False
S002,S002-Q021,Relation cosine,0.4572025511981577,0.5607061386108398,-0.10350358741268212,False
S002,S002-Q021,Field-aware final,0.5727619152482759,0.7479913916178119,-0.175229476369536,False
S002,S002-Q022,C3 Dense,0.7325950860977173,0.762967586517334,-0.0303725004196167,False
S002,S002-Q022,Task cosine,0.7449981266257913,0.7964864251903548,-0.051488298564563495,False
S002,S002-Q022,Fact cosine,0.7990385770224677,0.809465754596338,-0.010427177573870239,False
S002,S002-Q022,Relation cosine,0.7149344086647034,0.7424022555351257,-0.027467846870422363,False
S002,S002-Q022,Field-aware final,0.7572957583023479,0.7796826027315484,-0.02238684442920058,False
S002,S002-Q026,C3 Dense,0.6824973225593567,0.7052399516105652,-0.022742629051208496,False
S002,S002-Q026,Task cosine,0.716500461101532,0.761846826186587,-0.04534636508505496,False
S002,S002-Q026,Fact cosine,0.7443842735519572,0.7514414639140048,-0.00705719036204755,False
S002,S002-Q026,Relation cosine,0.6249415650928953,0.6285707133156486,-0.0036291482227532867,False
S002,S002-Q026,Field-aware final,0.7031844148984093,0.7215362083710943,-0.018351793472685007,False
S002,S002-Q028,C3 Dense,0.7513960599899292,0.7575441598892212,-0.006148099899291992,False
S002,S002-Q028,Task cosine,0.7349419593811035,0.7764027118682861,-0.04146075248718262,False
S002,S002-Q028,Fact cosine,0.792648196220398,0.8178575038909912,-0.02520930767059326,False
S002,S002-Q028,Relation cosine,0.798649787902832,0.8372926712036133,-0.03864288330078125,False
S002,S002-Q028,Field-aware final,0.770766019821167,0.7990049553716387,-0.028238935550471744,False
S002,S002-Q033,C3 Dense,0.7454124689102173,0.7473978400230408,-0.0019853711128234863,False
