query_id,candidate_k,page_id,is_eligible_gold,candidate_rank,candidate_score_rrf60,dense_rank,bm25_rank,reranker_rank,reranker_cached_sigmoid_score
S001-Q014,15,8322bc48-f2e3-5603-ae53-97917cf35a39,False,6,0.03007688828584351,6,7,6,0.07732185402274155
S001-Q014,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,7,0.029857397504456328,8,6,5,0.14352949569388823
S001-Q014,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,8,0.029631255487269532,7,8,7,0.073674154118424
S001-Q014,15,2631e802-75be-5089-9418-baece6a717cf,False,9,0.02877846790890269,10,9,9,0.0459079021131214
S001-Q014,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,10,0.02877846790890269,9,10,10,0.0269715828382913
S001-Q021,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,1,0.032266458495966696,1,3,2,0.9288841018921786
S001-Q021,15,e7eefead-7365-5540-b914-0d6077a14d8c,False,2,0.031099324975891997,8,1,1,0.9871298565962268
S001-Q021,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,3,0.030798389007344232,3,7,7,0.11771285350803992
S001-Q021,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,4,0.0304147465437788,2,10,5,0.28068036713560185
S001-Q021,15,1de06218-dc21-5ec3-9e23-c5d58a375fd9,False,5,0.029910714285714284,10,4,4,0.3176297014457291
S001-Q021,15,8322bc48-f2e3-5603-ae53-97917cf35a39,False,6,0.029827662395050816,13,2,14,0.0341450349343592
S001-Q021,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,7,0.029709507042253523,4,11,3,0.6334918069037321
S001-Q021,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,8,0.02946912242686891,11,5,11,0.05759960706142855
S001-Q021,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,9,0.02919863597612958,9,8,9,0.08791061323035702
S001-Q021,15,9b4b60a1-f0f9-5368-b4ce-b441752321bb,False,10,0.0288981288981289,5,14,6,0.16951091027087783
S001-Q021,15,f1228bac-12d1-520f-9787-52a8cdcd49db,True,11,0.028484848484848488,6,15,8,0.10449820420755333
S001-Q021,15,34fa3574-894f-575c-b9b0-0a183473746e,False,12,0.028309409888357256,16,6,15,0.024501657852982993
S001-Q021,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,13,0.028083267871170464,7,16,10,0.07531836684567157
S001-Q021,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,14,0.028006267136701922,14,9,13,0.034644505091137257
S001-Q021,15,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,False,15,0.02758751902587519,12,13,12,0.054127192287493534
S001-Q022,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,1,0.032266458495966696,1,3,5,0.8332914775998951
S001-Q022,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,2,0.031024531024531024,3,6,4,0.866158163721578
S001-Q022,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,3,0.030834914611005692,2,8,6,0.8144929664893344
S001-Q022,15,1de06218-dc21-5ec3-9e23-c5d58a375fd9,False,4,0.03076923076923077,5,5,2,0.9615952859032301
S001-Q022,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,5,0.03055037313432836,4,7,3,0.9212542159956938
S001-Q022,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,6,0.0304147465437788,10,2,13,0.596403562654405
S001-Q022,15,8322bc48-f2e3-5603-ae53-97917cf35a39,False,7,0.029726775956284153,15,1,1,0.9735896149908507
S001-Q022,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,8,0.028985507246376812,9,9,8,0.7913986821621412
S001-Q022,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,9,0.028665028665028666,6,14,11,0.654381137828501
S001-Q022,15,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,False,10,0.02862400327131466,7,13,9,0.6980740900003771
S001-Q022,15,289ba3d6-8b24-5c77-8df9-7af211ee1007,False,11,0.02844551282051282,18,4,15,0.5744663720353249
S001-Q022,15,f1228bac-12d1-520f-9787-52a8cdcd49db,False,12,0.028370221327967807,11,10,7,0.795914750204246
S001-Q022,15,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,13,0.02797339593114241,12,11,14,0.5757951610784127
S001-Q022,15,2631e802-75be-5089-9418-baece6a717cf,False,14,0.02786377708978328,8,16,10,0.695867785903974
S001-Q022,15,34fa3574-894f-575c-b9b0-0a183473746e,True,15,0.027046783625730993,16,12,12,0.6180143495810713
S001-Q026,15,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,1,0.03278688524590164,1,1,1,0.9884343631361955
S001-Q026,15,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,True,2,0.03149801587301587,4,3,13,0.037791945761391846
S001-Q026,15,44777fdf-abd5-5570-b0aa-8e3f1cb44000,False,3,0.030536130536130537,6,5,14,0.031170272209309957
S001-Q026,15,77cecfad-195f-539e-b105-acf49d23a9c6,False,4,0.029877369007803793,5,9,8,0.12243820147023272
S001-Q026,15,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,5,0.029827662395050816,2,13,10,0.11246868707177798
S001-Q026,15,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,6,0.02964426877470356,9,6,9,0.11296931335812194
S001-Q026,15,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,7,0.029513888888888888,12,4,6,0.167774931663205
S001-Q026,15,7c06f308-8022-5f54-a63c-ab30458f4115,False,8,0.029411764705882353,8,8,11,0.08190546145350026
S001-Q026,15,70d0daf9-01a8-5e0f-9341-e20464515e43,False,9,0.02900988017658188,11,7,2,0.33128770685322984
S001-Q026,15,8322bc48-f2e3-5603-ae53-97917cf35a39,False,10,0.028949545078577336,18,2,4,0.17893530790104564
S001-Q026,15,2ec87be4-468b-5498-889b-13f43f4ee222,False,11,0.028693528693528692,3,18,7,0.13110210435212746
S001-Q026,15,28a3b6de-dd4b-5bf8-919e-169ce12b1349,False,12,0.028083267871170464,7,16,5,0.17805570382665364
