candidate_representation,candidate_strategy,candidate_k,candidate_k_semantics,candidate_recall,candidate_hits,eligible_gold_count,candidate_recall_at_10,candidate_recall_at_15,candidate_recall_at_20,candidate_recall_at_30,pre_rerank_recall_at_5,pre_rerank_mrr,mean_actual_candidate_count,min_actual_candidate_count,max_actual_candidate_count,retrieval_mean_ms,retrieval_p50_ms,retrieval_p95_ms
P8,bm25,10,final deduplicated candidate budget,0.5238095238095238,11,21,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.23809523809523808,0.21080562607818248,9.214285714285714,3,10,76.04786750016501,89.79385049678967,148.6967821019789
P8,bm25,15,final deduplicated candidate budget,0.7142857142857143,15,21,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.23809523809523808,0.21080562607818248,12.785714285714286,3,15,76.04786750016501,89.79385049678967,148.6967821019789
P8,bm25,20,final deduplicated candidate budget,0.9047619047619048,19,21,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.23809523809523808,0.21080562607818248,16.0,3,20,76.04786750016501,89.79385049678967,148.6967821019789
P8,bm25,30,final deduplicated candidate budget,1.0,21,21,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,0.23809523809523808,0.21080562607818248,20.642857142857142,3,30,76.04786750016501,89.79385049678967,148.6967821019789
P8,union_fixed,10,final deduplicated candidate budget,0.6190476190476191,13,21,0.6190476190476191,0.7619047619047619,0.9047619047619048,1.0,0.3333333333333333,0.3417127806833689,9.214285714285714,3,10,80.03928093135723,95.59177100163652,158.69966800964903
P8,union_fixed,15,final deduplicated candidate budget,0.7142857142857143,15,21,0.6190476190476191,0.7142857142857143,0.9047619047619048,1.0,0.3333333333333333,0.342478354978355,12.785714285714286,3,15,80.03928093135723,95.59177100163652,158.69966800964903
P8,union_fixed,20,final deduplicated candidate budget,0.9523809523809523,20,21,0.6190476190476191,0.7142857142857143,0.9523809523809523,1.0,0.3333333333333333,0.34271178168236993,16.0,3,20,80.03928093135723,95.59177100163652,158.69966800964903
P8,union_fixed,30,final deduplicated candidate budget,1.0,21,21,0.6190476190476191,0.7142857142857143,0.9523809523809523,1.0,0.3333333333333333,0.34271178168236993,20.642857142857142,3,30,80.03928093135723,95.59177100163652,158.69966800964903
P8,rrf60,10,final deduplicated candidate budget,0.5714285714285714,12,21,0.5714285714285714,0.7619047619047619,0.9047619047619048,1.0,0.3333333333333333,0.374620943948675,9.214285714285714,3,10,80.03928093135723,95.59177100163652,158.69966800964903
P8,rrf60,15,final deduplicated candidate budget,0.7619047619047619,16,21,0.5714285714285714,0.7619047619047619,0.9047619047619048,1.0,0.3333333333333333,0.374620943948675,12.785714285714286,3,15,80.03928093135723,95.59177100163652,158.69966800964903
P8,rrf60,20,final deduplicated candidate budget,0.9047619047619048,19,21,0.5714285714285714,0.7619047619047619,0.9047619047619048,1.0,0.3333333333333333,0.374620943948675,16.0,3,20,80.03928093135723,95.59177100163652,158.69966800964903
P8,rrf60,30,final deduplicated candidate budget,1.0,21,21,0.5714285714285714,0.7619047619047619,0.9047619047619048,1.0,0.3333333333333333,0.374620943948675,20.642857142857142,3,30,80.03928093135723,95.59177100163652,158.69966800964903
P8,weighted_dense_0.8,10,final deduplicated candidate budget,0.6190476190476191,13,21,0.6190476190476191,0.7142857142857143,0.8095238095238095,1.0,0.3333333333333333,0.3785667044595616,9.214285714285714,3,10,80.03928093135723,95.59177100163652,158.69966800964903
