candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,score_all_visible_mean_ms,score_all_visible_p95_ms,status
P0,bm25,20,P8,BAAI/bge-reranker-base,0.8571428571428571,14,21,0.2751159554730983,0.2525678068211869,10.857142857142858,11,30,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.47619047619047616,0.7142857142857143,0.8571428571428571,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,bm25,30,P0,BAAI/bge-reranker-base,1.0,14,21,0.22605420373277516,0.18674753355672655,11.80952380952381,12,26,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,bm25,30,P1,BAAI/bge-reranker-base,1.0,14,21,0.23385461760461762,0.2156463140105633,10.047619047619047,7,25,0.0,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,bm25,30,P8,BAAI/bge-reranker-base,1.0,14,21,0.304845742124601,0.28069152402134134,10.19047619047619,8,28,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,union_fixed,10,P0,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.2183239962651727,0.15598492226576988,11.428571428571429,9,26,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,union_fixed,10,P1,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.20522875816993463,0.18801397063666747,11.0,9,26,0.0,0.23809523809523808,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,union_fixed,10,P8,BAAI/bge-reranker-base,0.5714285714285714,14,21,0.25443510737628383,0.2249354634472911,10.952380952380953,9,26,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,union_fixed,15,P0,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.20829884401312973,0.15598492226576988,12.19047619047619,13,26,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.38095238095238093,0.6666666666666666,0.9047619047619048,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,union_fixed,15,P1,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.19942696192696194,0.18801397063666747,11.380952380952381,12,26,0.0,0.23809523809523808,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.9047619047619048,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,union_fixed,15,P8,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.2466535448678306,0.20799276967805566,11.380952380952381,12,26,0.047619047619047616,0.23809523809523808,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P0,union_fixed,20,P0,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.21475834833141144,0.15598492226576988,12.047619047619047,12,26,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.6666666666666666,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P0,union_fixed,20,P1,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.22602856307906977,0.2156463140105633,10.80952380952381,8,26,0.0,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P0,union_fixed,20,P8,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.2736476106981174,0.2356251130519515,10.952380952380953,10,26,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
