baseline,config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,24,9,0.4599473774433136,0.5495500564575195,0.08960267901420593
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,15,8,7,0.5070860385894775,0.5729957818984985,0.065909743309021
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,27,-5,0.5056788325309753,0.5903053283691406,0.08462649583816528
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,3,7,0.5986801981925964,0.7086988091468811,0.11001861095428467
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,15,18,-3,0.592033326625824,0.6618845462799072,0.06985121965408325
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,30,11,0.4069212079048157,0.5439043045043945,0.13698309659957886
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,10,1,0.4789794087409973,0.5712451934814453,0.092265784740448
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,28,-25,0.5221919417381287,0.6044498085975647,0.08225786685943604
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,13,6,0.4438685476779938,0.5638749003410339,0.12000635266304016
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,18,7,11,0.4406288266181946,0.5670916438102722,0.12646281719207764
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,13,1,0.4429168999195099,0.5493208169937134,0.10640391707420349
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,5,-4,0.48954805731773376,0.5161936283111572,0.026645570993423462
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,19,-1,0.4069208800792694,0.47727981209754944,0.07035893201828003
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,8,-4,0.4601253867149353,0.5653970837593079,0.10527169704437256
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,16,12,4,0.6070505380630493,0.6962371468544006,0.08918660879135132
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,54,36,18,0.5469114780426025,0.6588612198829651,0.11194974184036255
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,24,10,14,0.5937093496322632,0.705758273601532,0.1120489239692688
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,5,0,0.5364928841590881,0.6167514324188232,0.08025854825973511
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,42,5,0.482970654964447,0.5769400000572205,0.09396934509277344
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,30,37,-7,0.6417790651321411,0.6637557148933411,0.02197664976119995
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,12,53,-41,0.6042231917381287,0.6234518885612488,0.019228696823120117
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,48,72,-24,0.5702548027038574,0.6029131412506104,0.03265833854675293
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,22,25,-3,0.5237754583358765,0.6038086414337158,0.08003318309783936
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,3,2,1,0.5488320589065552,0.6515400409698486,0.10270798206329346
C3,M0,BGE-M3 Dense vs C3,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,23,31,-8,0.5221955180168152,0.6007784008979797,0.07858288288116455
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,3,0,0.35100364685058594,0.5751315951347351,0.22412794828414917
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,7,6,1,0.5022115111351013,0.6001841425895691,0.09797263145446777
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6210789084434509,0.7022731900215149,0.08119428157806396
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,9,-1,0.593585193157196,0.6740537285804749,0.08046853542327881
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,5,4,1,0.6157102584838867,0.6968849301338196,0.08117467164993286
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,6,-4,0.5244457125663757,0.6160503625869751,0.09160465002059937
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,4,7,0.6970088481903076,0.711053729057312,0.014044880867004395
C3,M0,BGE-M3 Dense vs C3,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,3,1,2,0.7119752168655396,0.7886651754379272,0.0766899585723877
