config,query_id,target_page_id,token,category,corpus_size,document_frequency,target_term_frequency,qdrant_single_token_raw_contribution,effective_idf
H5,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,保留,其它,40,1,1,5.394110679626465,3.3081069402396674
H5,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,修订,高区分度任务词,60,1,1,6.026237964630127,3.7054087484932756
H5,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,比亚迪,其它,24,24,1,0.03311456739902496,0.02020270837767219
H5,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,资产,金融词,24,2,1,3.774202346801758,2.3025850965218106
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,一轮,其它,66,14,1,1.604919672012329,1.5305439556779508
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,仍,其它,66,7,1,2.29620099067688,2.1897896876643324
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,修订,高区分度任务词,66,9,1,2.0483250617980957,1.9534009067680345
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,未,其它,66,65,1,0.02374277263879776,0.02264247724484779
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,来源,其它,66,63,1,0.05625993013381958,0.05365271391135386
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,的,模板/功能词,66,62,3,0.1119733452796936,0.06952606328890065
H0,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,结论,其它,66,66,4,0.012930032797157764,0.007490671965363368
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,一轮,其它,60,14,1,1.5065418481826782,1.4367251893801782
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,仍,其它,60,7,1,2.1978230476379395,2.0959708076817063
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,修订,高区分度任务词,60,9,1,1.9499471187591553,1.8595820267854086
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,未,其它,60,59,1,0.026107430458068848,0.02489755131219598
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,来源,其它,60,59,1,0.026107430458068848,0.02489755131219598
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,的,模板/功能词,60,58,3,0.06739574670791626,0.041847110482525415
H4,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,结论,其它,60,60,4,0.014207086525857449,0.008230499212045701
