variant,baseline,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
V2-Global,C3,V2-Global vs C3,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,1,0,0.6374316811561584,0.6364994645118713,-0.0009322166442871094
V2-Global,C3,V2-Global vs C3,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,21,-10,0.5550165176391602,0.5556771159172058,0.0006605982780456543
V2-Global,C3,V2-Global vs C3,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,46,-35,0.4726150631904602,0.4134773313999176,-0.0591377317905426
V2-Global,C3,V2-Global vs C3,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,3,-1,0.3476473391056061,0.42300599813461304,0.07535865902900696
V2-Global,C3,V2-Global vs C3,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,5,-1,0.4727919101715088,0.477201372385025,0.004409462213516235
V2-Global,C3,V2-Global vs C3,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,3,-2,0.494103342294693,0.478884756565094,-0.015218585729598999
V2-Global,C3,V2-Global vs C3,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.49814823269844055,0.5055054426193237,0.007357209920883179
V2-Global,C3,V2-Global vs C3,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,4,1,0.5069320797920227,0.5295724272727966,0.022640347480773926
V2-Global,C3,V2-Global vs C3,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.6167545914649963,0.5654905438423157,-0.051264047622680664
V2-Global,C3,V2-Global vs C3,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,13,-6,0.6651113629341125,0.6162229180335999,-0.048888444900512695
V2-Global,C3,V2-Global vs C3,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,4,-3,0.6499589681625366,0.5879969596862793,-0.061962008476257324
V2-Global,C3,V2-Global vs C3,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,3,0,0.6119412183761597,0.5955085754394531,-0.016432642936706543
V2-Global,C3,V2-Global vs C3,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,15,8,7,0.5855612754821777,0.6210969686508179,0.03553569316864014
V2-Global,C3,V2-Global vs C3,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,3,4,0.6343926787376404,0.6491759419441223,0.014783263206481934
V2-Global,C3,V2-Global vs C3,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,6,3,3,0.5726884603500366,0.4969196021556854,-0.0757688581943512
V2-Global,C3,V2-Global vs C3,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,4,8,0.5834260582923889,0.612847626209259,0.029421567916870117
V2-Global,C3,V2-Global vs C3,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,17,4,0.54683518409729,0.5692102909088135,0.022375106811523438
V2-Global,C3,V2-Global vs C3,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,12,5,0.5243327021598816,0.5695419907569885,0.045209288597106934
V2-Global,C3,V2-Global vs C3,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,15,-13,0.6725355982780457,0.6030891537666321,-0.06944644451141357
V2-Global,C3,V2-Global vs C3,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,32,-3,0.5633748769760132,0.516022264957428,-0.047352612018585205
V2-Global,C3,V2-Global vs C3,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,6,24,-18,0.5420230627059937,0.49486276507377625,-0.04716029763221741
V2-Global,C3,V2-Global vs C3,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,30,3,0.4599473774433136,0.44443362951278687,-0.015513747930526733
V2-Global,C3,V2-Global vs C3,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,15,34,-19,0.5070860385894775,0.4323105812072754,-0.07477545738220215
V2-Global,C3,V2-Global vs C3,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,28,-6,0.5056788325309753,0.5025113224983215,-0.0031675100326538086
V2-Global,C3,V2-Global vs C3,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,25,-15,0.5986801981925964,0.5751289129257202,-0.02355128526687622
V2-Global,C3,V2-Global vs C3,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,15,23,-8,0.592033326625824,0.5822278261184692,-0.009805500507354736
V2-Global,C3,V2-Global vs C3,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,44,-3,0.4069212079048157,0.4933847486972809,0.08646354079246521
V2-Global,C3,V2-Global vs C3,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,24,-13,0.4789794087409973,0.5547524690628052,0.07577306032180786
V2-Global,C3,V2-Global vs C3,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,25,-22,0.5221919417381287,0.46688541769981384,-0.05530652403831482
V2-Global,C3,V2-Global vs C3,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,26,-7,0.4438685476779938,0.42177411913871765,-0.022094428539276123
V2-Global,C3,V2-Global vs C3,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,18,37,-19,0.4406288266181946,0.40367478132247925,-0.03695404529571533
V2-Global,C3,V2-Global vs C3,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,23,-9,0.4429168999195099,0.4334767758846283,-0.009440124034881592
V2-Global,C3,V2-Global vs C3,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,2,-1,0.48954805731773376,0.5195035338401794,0.02995547652244568
V2-Global,C3,V2-Global vs C3,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,21,-3,0.4069208800792694,0.4455089569091797,0.03858807682991028
V2-Global,C3,V2-Global vs C3,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,28,-24,0.4601253867149353,0.41871434450149536,-0.04141104221343994
V2-Global,C3,V2-Global vs C3,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,16,18,-2,0.6070505380630493,0.605577826499939,-0.0014727115631103516
V2-Global,C3,V2-Global vs C3,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,54,53,1,0.5469114780426025,0.5639034509658813,0.01699197292327881
V2-Global,C3,V2-Global vs C3,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,24,28,-4,0.5937093496322632,0.5903055667877197,-0.003403782844543457
V2-Global,C3,V2-Global vs C3,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,7,-2,0.5364928841590881,0.5414443016052246,0.004951417446136475
V2-Global,C3,V2-Global vs C3,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,60,-13,0.482970654964447,0.47407352924346924,-0.008897125720977783
V2-Global,C3,V2-Global vs C3,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,30,31,-1,0.6417790651321411,0.6552943587303162,0.013515293598175049
V2-Global,C3,V2-Global vs C3,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,12,30,-18,0.6042231917381287,0.4546920359134674,-0.14953115582466125
V2-Global,C3,V2-Global vs C3,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,48,50,-2,0.5702548027038574,0.43096888065338135,-0.13928592205047607
V2-Global,C3,V2-Global vs C3,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,22,40,-18,0.5237754583358765,0.4925452172756195,-0.031230241060256958
V2-Global,C3,V2-Global vs C3,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,3,7,-4,0.5488320589065552,0.5293002724647522,-0.01953178644180298
V2-Global,C3,V2-Global vs C3,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,23,27,-4,0.5221955180168152,0.5008143186569214,-0.0213811993598938
V2-Global,C3,V2-Global vs C3,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,2,1,0.35100364685058594,0.437661737203598,0.08665809035301208
V2-Global,C3,V2-Global vs C3,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,7,6,1,0.5022115111351013,0.5288893580436707,0.026677846908569336
V2-Global,C3,V2-Global vs C3,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6210789084434509,0.6548851728439331,0.03380626440048218
V2-Global,C3,V2-Global vs C3,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,9,-1,0.593585193157196,0.5955835580825806,0.0019983649253845215
V2-Global,C3,V2-Global vs C3,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,5,1,4,0.6157102584838867,0.6894017457962036,0.0736914873123169
V2-Global,C3,V2-Global vs C3,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,5,-3,0.5244457125663757,0.5023285150527954,-0.022117197513580322
V2-Global,C3,V2-Global vs C3,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,16,-5,0.6970088481903076,0.6912941932678223,-0.0057146549224853516
V2-Global,C3,V2-Global vs C3,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,3,3,0,0.7119752168655396,0.7469451427459717,0.03496992588043213
V2-Global,C3,V2-Global vs C3,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,4,7,-3,0.7066170573234558,0.7023645043373108,-0.0042525529861450195
V2-Global,C3,V2-Global vs C3,S004,S004-Q026,7567fc91-4210-59bc-ac74-0cc3060edc83,S004-Q014,18,21,-3,0.7261838316917419,0.7168931365013123,-0.009290695190429688
