Model,kind,session_id,item_id,source_turn_id,token_count,max_length,truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_status
Alibaba-NLP/gte-multilingual-base,Page,S002,4061a539-8cec-524a-9a35-60f71e908abb,S002-Q005,353,1024,False,313,313,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,362,1024,False,321,321,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,358,1024,False,317,317,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,384,1024,False,344,344,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,ffe3f8c5-2f7a-5645-ac8f-b41d05a11638,S002-Q009,295,1024,False,255,255,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0,S002-Q010,371,1024,False,328,328,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002-Q011,345,1024,False,303,303,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,359,1024,False,316,316,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,1489a6a2-1be1-5d95-99ec-ac3f42b06c35,S002-Q013,357,1024,False,314,314,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,286,1024,False,249,249,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,285,1024,False,248,248,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,8abb5364-9164-5a46-826a-a0fde69d88a8,S002-Q016,377,1024,False,336,336,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002-Q017,396,1024,False,354,354,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,420,1024,False,378,378,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,428,1024,False,385,385,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80,S002-Q020,398,1024,False,357,357,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,c8f4e926-30e6-5f69-bf75-7901bee08448,S002-Q021,383,1024,False,341,341,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,311,1024,False,270,270,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,292,1024,False,248,248,False,42,42,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,6d98ca26-e346-5273-b057-bb7822359930,S002-Q024,397,1024,False,354,354,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,50ece86f-0b7d-5180-8833-108f08b16aa0,S002-Q025,304,1024,False,259,259,False,43,43,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,9f1aca79-05a4-5e05-95d1-2323f4c68ed6,S002-Q026,389,1024,False,348,348,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,295,1024,False,251,251,False,42,42,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,9316db54-3f72-5cdc-a8fb-417c4891e307,S002-Q028,399,1024,False,358,358,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,423,1024,False,381,381,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,5d1129e6-fe0c-54c2-8a45-a5291b9d4e53,S002-Q030,388,1024,False,348,348,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,a8e549ea-cc7d-5afb-b7c2-2c0086eedcd9,S002-Q031,425,1024,False,382,382,False,41,41,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,281,1024,False,245,245,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,566e5d08-995e-5a35-9566-2770b6024b5a,S002-Q033,421,1024,False,376,376,False,43,43,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,469,1024,False,424,424,False,43,43,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,53002bea-e9ad-5d96-83a5-03522979913a,S002-Q035,499,1024,False,457,457,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,479,1024,False,438,438,False,39,39,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S002,087338a6-fe85-5c9e-9ce5-15a213fa760e,S002-Q037,425,1024,False,384,384,False,39,39,FULLY_KEPT
