embedding,model,query_variant,page_variant,screening_scope,status,dimension,page_encoding_ms,query_encoding_p50_ms,query_encoding_p95_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,eligible_gold_count
E1,BAAI/bge-base-zh-v1.5,Q0,P0,embedding_only,AVAILABLE,768,2951.4448690024437,80.35280499825603,177.98463750004882,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,0.2609054054866863,0.25136059972484903,11.142857142857142,8,21
E1,BAAI/bge-base-zh-v1.5,Q0,P8,c2_auxiliary,AVAILABLE,768,2946.41987200157,80.35280499825603,177.98463750004882,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.8571428571428571,1.0,0.2791420515574651,0.2607127249799531,10.857142857142858,8,21
E2,BAAI/bge-large-zh-v1.5,Q5,P8,required,AVAILABLE,1024,10007.8253449974,230.3869540010055,495.74419469827217,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.7619047619047619,1.0,0.25085160727241473,0.22451455710895546,12.619047619047619,13,21
E2,BAAI/bge-large-zh-v1.5,Q5,P0,required,AVAILABLE,1024,10224.714536998363,230.3869540010055,495.74419469827217,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.47619047619047616,0.6666666666666666,0.7619047619047619,0.9523809523809523,0.1993518663504049,0.1296227618065883,13.285714285714286,12,21
E2,BAAI/bge-large-zh-v1.5,Q0,P8,required,AVAILABLE,1024,10007.8253449974,230.3869540010055,495.74419469827217,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.6190476190476191,0.7619047619047619,0.8571428571428571,1.0,0.29575811093668236,0.19962339207546864,10.714285714285714,7,21
E2,BAAI/bge-large-zh-v1.5,Q0,P0,required,AVAILABLE,1024,10224.714536998363,230.3869540010055,495.74419469827217,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.7619047619047619,0.8095238095238095,0.9523809523809523,0.22193626335707078,0.18036042630415983,12.19047619047619,12,21
E2,BAAI/bge-large-zh-v1.5,Q0,P0,embedding_only,AVAILABLE,1024,10224.714536998363,230.3869540010055,495.74419469827217,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.7619047619047619,0.8095238095238095,0.9523809523809523,0.22193626335707078,0.18036042630415983,12.19047619047619,12,21
E2,BAAI/bge-large-zh-v1.5,Q0,P8,c2_auxiliary,AVAILABLE,1024,10007.8253449974,230.3869540010055,495.74419469827217,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.6190476190476191,0.7619047619047619,0.8571428571428571,1.0,0.29575811093668236,0.19962339207546864,10.714285714285714,7,21
E3,BAAI/bge-m3,Q5,P8,required,AVAILABLE,1024,8790.212926993263,2825.577474995953,8094.833680000738,0.0,0.19047619047619047,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.7619047619047619,1.0,0.22368939948214223,0.1756687461512694,11.428571428571429,8,21
E3,BAAI/bge-m3,Q5,P0,required,AVAILABLE,1024,83757.398517002,2825.577474995953,8094.833680000738,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.5714285714285714,0.6666666666666666,0.9047619047619048,1.0,0.23121598639455782,0.16420028745815335,11.476190476190476,8,21
