session_id,query_id,gold_page_id,baseline_rank,baseline_score,P0_rank,P0_score,P0_promoted,P0_demoted,P0_rank_movement,P2_rank,P2_score,P2_promoted,P2_demoted,P2_rank_movement,P4_rank,P4_score,P4_promoted,P4_demoted,P4_rank_movement
S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,38,0.4072052836418152,38,0.4072052240371704,False,False,0,38,0.5637668371200562,False,False,0,38,0.4072052240371704,False,False,0
S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,49,0.3857173025608063,49,0.3857173025608063,False,False,0,49,0.46873435378074646,False,False,0,49,0.3857173025608063,False,False,0
S004,S004-Q055,90248870-b2cb-59d2-a707-79d09f366d8a,38,0.40836551785469055,38,0.40836548805236816,False,False,0,43,0.48429518938064575,False,False,-5,38,0.40836548805236816,False,False,0
S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,41,0.38185083866119385,41,0.38185086846351624,False,False,0,39,0.5155000686645508,False,False,2,41,0.38185086846351624,False,False,0
S004,S004-Q063,2c5547ce-bd04-536c-8b2d-e09ae5633e53,2,0.5229606628417969,2,0.5229606032371521,False,False,0,2,0.5229606032371521,False,False,0,2,0.5229606032371521,False,False,0
S004,S004-Q065,ca05266e-320c-5081-9d2d-f7c8689c58a9,20,0.42018499970436096,20,0.4201849699020386,False,False,0,20,0.4201849699020386,False,False,0,20,0.4201849699020386,False,False,0
S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,6,0.44664400815963745,6,0.44664403796195984,False,False,0,6,0.44664403796195984,False,False,0,6,0.44664403796195984,False,False,0
S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,12,0.3909291625022888,12,0.3909291923046112,False,False,0,12,0.3909291923046112,False,False,0,12,0.3909291923046112,False,False,0
S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,42,0.3365212082862854,42,0.33652129769325256,False,False,0,42,0.33652129769325256,False,False,0,42,0.33652129769325256,False,False,0
S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,32,0.4317394196987152,32,0.43173936009407043,False,False,0,32,0.43173936009407043,False,False,0,32,0.43173936009407043,False,False,0
S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,2,0.4711211323738098,2,0.4711209535598755,False,False,0,2,0.4711209535598755,False,False,0,3,0.494121789932251,False,False,-1
S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,7,0.4023248851299286,7,0.4023247957229614,False,False,0,7,0.4023247957229614,False,False,0,7,0.4023247957229614,False,False,0
S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,2,0.45313093066215515,2,0.4531308710575104,False,False,0,2,0.4531308710575104,False,False,0,2,0.4531308710575104,False,False,0
S005,S005-Q013,73dd18d4-5dac-5f27-ac96-83de10de4633,9,0.4182943105697632,9,0.41829434037208557,False,False,0,9,0.41829434037208557,False,False,0,9,0.41829434037208557,False,False,0
S005,S005-Q013,6e436632-8d73-58b8-a746-7cbc36ffe10f,1,0.5017252564430237,1,0.5017253160476685,False,False,0,1,0.5017253160476685,False,False,0,1,0.5017253160476685,False,False,0
S005,S005-Q014,c64751d6-21c8-5c09-87da-48f940293661,3,0.45949772000312805,3,0.4594978094100952,False,False,0,3,0.4594978094100952,False,False,0,3,0.4643818438053131,False,False,0
S005,S005-Q021,5095d8f5-e975-5011-976e-e587c31560f2,11,0.5081461668014526,11,0.5081462264060974,False,False,0,11,0.5081462264060974,False,False,0,11,0.5081462264060974,False,False,0
S005,S005-Q022,bcb24496-086a-528b-a09e-86bae79fa560,1,0.6334474086761475,1,0.6334472894668579,False,False,0,1,0.6334472894668579,False,False,0,5,0.6302654147148132,False,False,-4
