Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,final_score,zero_fallback_applied
H5-W50,H5-W50 vs Dense,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,7,-3,0.67808997631073,0.3451634374061051,-0.33292653890462487,DEMOTED,4,7,0.67808997631073,3.2180259227752686,0.012236898501480296,0.3451634374061051,False
H5-W50,H5-W50 vs Dense,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,1,0,0.6072694063186646,0.45993807865201164,-0.1473313276666529,UNCHANGED,1,1,0.6072694063186646,10.424078941345215,0.3126067509853588,0.45993807865201164,False
H5-W50,H5-W50 vs Dense,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,15,6,9,0.4818408787250519,0.26103010400382204,-0.22081077472122984,UNCHANGED,15,6,0.4818408787250519,5.655285835266113,0.04021932928259216,0.26103010400382204,False
H5-W50,H5-W50 vs Dense,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,12,4,0.492669016122818,0.25715412564036755,-0.23551489048245045,UNCHANGED,16,12,0.492669016122818,4.377259254455566,0.02163923515791706,0.25715412564036755,False
H5-W50,H5-W50 vs Dense,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,7,5,0.5007023811340332,0.271411968822221,-0.2292904123118122,UNCHANGED,12,7,0.5007023811340332,5.751677513122559,0.04212155651040878,0.271411968822221,False
H5-W50,H5-W50 vs Dense,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,38,-2,0.33248934149742126,0.16624467074871063,-0.16624467074871063,UNCHANGED,36,38,0.33248934149742126,0.0,0.0,0.16624467074871063,False
H5-W50,H5-W50 vs Dense,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,11,15,-4,0.6479683518409729,0.32398417592048645,-0.32398417592048645,UNCHANGED,11,15,0.6479683518409729,0.0,0.0,0.32398417592048645,False
H5-W50,H5-W50 vs Dense,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,6,-5,0.650933027267456,0.325466513633728,-0.325466513633728,DEMOTED,1,6,0.650933027267456,0.0,0.0,0.325466513633728,False
H5-W50,H5-W50 vs Dense,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,13,-7,0.6310549378395081,0.31552746891975403,-0.31552746891975403,UNCHANGED,6,13,0.6310549378395081,0.0,0.0,0.31552746891975403,False
H5-W50,H5-W50 vs Dense,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,2,-1,0.6374316811561584,0.32227912881043946,-0.315152552345719,UNCHANGED,1,2,0.6374316811561584,2.126455545425415,0.007126576464720456,0.32227912881043946,False
H5-W50,H5-W50 vs Dense,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,12,-1,0.5550165176391602,0.2775082588195801,-0.2775082588195801,UNCHANGED,11,12,0.5550165176391602,0.0,0.0,0.2775082588195801,False
H5-W50,H5-W50 vs Dense,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,13,-2,0.4726150631904602,0.2363075315952301,-0.2363075315952301,UNCHANGED,11,13,0.4726150631904602,0.0,0.0,0.2363075315952301,False
H5-W50,H5-W50 vs Dense,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,2,0,0.3476473391056061,0.17382366955280304,-0.17382366955280304,UNCHANGED,2,2,0.3476473391056061,0.0,0.0,0.17382366955280304,False
H5-W50,H5-W50 vs Dense,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,4,0,0.4727919101715088,0.24573775004721582,-0.22705416012429297,UNCHANGED,4,4,0.4727919101715088,4.07750129699707,0.018683589922922857,0.24573775004721582,False
H5-W50,H5-W50 vs Dense,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,1,0,0.494103342294693,0.2591279053170554,-0.23497543697763762,UNCHANGED,1,1,0.494103342294693,4.602160453796387,0.02415246833941773,0.2591279053170554,False
H5-W50,H5-W50 vs Dense,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.49814823269844055,0.25288244150726924,-0.2452657911911713,UNCHANGED,6,6,0.49814823269844055,2.2604544162750244,0.007616650316097979,0.25288244150726924,False
H5-W50,H5-W50 vs Dense,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,4,1,0.5069320797920227,0.25921909948290806,-0.24771298030911465,UNCHANGED,5,4,0.5069320797920227,3.093393087387085,0.011506119173793376,0.25921909948290806,False
H5-W50,H5-W50 vs Dense,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.6167545914649963,0.33814955754214715,-0.2786050339228492,UNCHANGED,1,1,0.6167545914649963,6.480720043182373,0.059544523619297914,0.33814955754214715,False
H5-W50,H5-W50 vs Dense,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,7,0,0.6651113629341125,0.3338496493116873,-0.33126171362242524,UNCHANGED,7,7,0.6651113629341125,0.09139307588338852,0.0025879356892620597,0.3338496493116873,False
H5-W50,H5-W50 vs Dense,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,3,-2,0.6499589681625366,0.3380113743864387,-0.31194759377609793,UNCHANGED,1,3,0.6499589681625366,2.75840163230896,0.026063780610340793,0.3380113743864387,False
H5-W50,H5-W50 vs Dense,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,2,1,0.6119412183761597,0.3805850217112147,-0.23135619666494495,UNCHANGED,3,2,0.6119412183761597,6.518675327301025,0.14922882504626975,0.3805850217112147,False
H5-W50,H5-W50 vs Dense,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,15,15,0,0.5855612754821777,0.2945777099960452,-0.2909835654861325,UNCHANGED,15,15,0.5855612754821777,0.7503026723861694,0.003594144509912664,0.2945777099960452,False
H5-W50,H5-W50 vs Dense,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,7,0,0.6343926787376404,0.31899516288029534,-0.31539751585734505,UNCHANGED,7,7,0.6343926787376404,0.752257764339447,0.0035976470229502643,0.31899516288029534,False
H5-W50,H5-W50 vs Dense,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,6,3,3,0.5726884603500366,0.334214858418983,-0.2384736019310536,PROMOTED,6,3,0.5726884603500366,7.509067535400391,0.09574125648792947,0.334214858418983,False
H5-W50,H5-W50 vs Dense,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,12,0,0.5834260582923889,0.29171302914619446,-0.29171302914619446,UNCHANGED,12,12,0.5834260582923889,0.0,0.0,0.29171302914619446,False
H5-W50,H5-W50 vs Dense,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,21,0,0.54683518409729,0.273417592048645,-0.273417592048645,UNCHANGED,21,21,0.54683518409729,0.0,0.0,0.273417592048645,False
H5-W50,H5-W50 vs Dense,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,20,-3,0.5243327021598816,0.2621663510799408,-0.2621663510799408,UNCHANGED,17,20,0.5243327021598816,0.0,0.0,0.2621663510799408,False
