config,session_id,source_turn_id,page_id,raw_token_count_including_special,length_bucket,max_length,page_truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_truncation_status
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q029,893b3ae9-1f94-5436-8c6d-54e200693867,564,513-1024,512,True,521,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q030,5d1129e6-fe0c-54c2-8a45-a5291b9d4e53,524,513-1024,512,True,482,482,False,40,28,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q031,a8e549ea-cc7d-5afb-b7c2-2c0086eedcd9,569,513-1024,512,True,524,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q032,78a623b8-bff9-5b45-b990-24d74e714f9b,372,<=512,512,False,332,332,False,38,38,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q033,566e5d08-995e-5a35-9566-2770b6024b5a,570,513-1024,512,True,523,510,True,45,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q034,57b8caa3-b46e-50f2-a65a-bb244543b1c3,631,513-1024,512,True,581,510,True,48,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q035,53002bea-e9ad-5d96-83a5-03522979913a,668,513-1024,512,True,623,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q036,5c22c135-b86e-56a3-83eb-7484d1183dca,658,513-1024,512,True,613,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q037,087338a6-fe85-5c9e-9ce5-15a213fa760e,575,513-1024,512,True,532,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q038,e2b1c04d-b6eb-5b03-8271-58604d4e20d3,609,513-1024,512,True,564,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q039,0f36d25b-9079-50b7-8631-6c59c16d905b,651,513-1024,512,True,606,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q040,647fce0c-6320-5a98-819d-50dff3300582,556,513-1024,512,True,514,510,True,40,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q041,a640b50d-59f1-5355-8579-dc5aea979edb,446,<=512,512,False,407,407,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q042,2dfdba20-c49c-5149-9993-09aa190738c7,484,<=512,512,False,441,441,False,41,41,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q043,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,527,513-1024,512,True,483,483,False,42,27,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q044,36301016-21e0-53b6-967a-92affd6e0d68,628,513-1024,512,True,586,510,True,40,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q045,d728a292-3080-5624-89ff-d8e05d09e8ca,634,513-1024,512,True,590,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q046,03cfc256-5474-5a94-b3bd-8ae0e1468cfd,690,513-1024,512,True,645,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q047,861902a4-c7d1-5058-ac04-5824babf2b61,648,513-1024,512,True,603,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q048,a56a2b47-0045-5d3d-952d-ef79edf44e4a,671,513-1024,512,True,627,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q049,8dcae915-8670-5f3e-802c-be0b10d761fa,526,513-1024,512,True,485,485,False,39,25,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q050,e40ec65e-2907-515a-b1dd-3bec39109106,653,513-1024,512,True,610,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q051,2e583969-bc65-5074-a7fe-0424438cd092,585,513-1024,512,True,541,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q052,08071793-33f2-5c8e-835a-34f1835a0973,636,513-1024,512,True,592,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q053,a2f4bee5-f836-545e-8197-d79f3f2d284c,626,513-1024,512,True,583,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q054,5490b9a4-3ee1-5d2c-913f-1fb3ae921f10,622,513-1024,512,True,578,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q055,d04ea023-63be-523c-b994-bdc3c3fd0ae4,638,513-1024,512,True,592,510,True,44,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q056,166328f1-a89c-5b18-8a53-02ac909e0849,523,513-1024,512,True,478,478,False,43,32,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q057,3549589e-05fe-5631-9385-5379f8dd4396,525,513-1024,512,True,488,488,False,35,22,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q058,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,654,513-1024,512,True,613,510,True,39,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q059,f176798e-99a6-575c-b7a4-f45d3d408206,509,<=512,512,False,463,463,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q060,90f899e0-16f7-540e-9302-625439620445,507,<=512,512,False,468,468,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q061,94326378-5fde-5bb5-85fb-a77991b3ac6c,529,513-1024,512,True,490,490,False,37,20,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q062,323c7c4f-02b6-5801-9c72-3623423fb3c6,508,<=512,512,False,469,469,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q063,235cb91c-034a-5c73-9bd4-32f5b41e13d7,493,<=512,512,False,454,454,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q064,95dce1c8-76eb-5c10-b622-b77e03c00526,525,513-1024,512,True,486,486,False,37,24,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q065,9f5d73d5-494c-575c-aba9-157919723349,488,<=512,512,False,449,449,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q066,9a8b3ff4-8cf9-50ac-af2f-678281152fda,659,513-1024,512,True,614,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q067,6c3ee9bb-44fd-58de-b46f-7a5cf21d7d48,469,<=512,512,False,425,425,False,42,42,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q068,e1d7ccc6-3641-51f9-9153-f81df340dffc,500,<=512,512,False,460,460,False,38,38,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q069,34c298d0-573d-5bb7-860c-2b5d53e5198e,451,<=512,512,False,412,412,False,37,37,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,S002-Q070,b028245b-2874-5422-8987-0fb8f15a1c45,620,513-1024,512,True,575,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q001,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,635,513-1024,512,True,592,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q002,3039ff9a-80a9-534e-bac6-7b97cc24a926,654,513-1024,512,True,615,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q003,54c53e7a-2b68-5849-a196-571fccaa0ac3,695,513-1024,512,True,651,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q004,ff050426-ccc1-5faa-8b70-2b3eedf5209b,645,513-1024,512,True,598,510,True,45,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q005,60bc0fda-17d1-5475-9f92-6434dee83888,650,513-1024,512,True,610,510,True,38,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q006,914dcda3-55d6-504a-9159-f6f54938f31f,678,513-1024,512,True,634,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q007,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,415,<=512,512,False,369,369,False,44,44,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q008,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,614,513-1024,512,True,568,510,True,44,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q009,6acea1bf-012f-53f4-bac8-545da6e86a3e,539,513-1024,512,True,495,495,False,42,15,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,S003-Q010,49d340b2-23e8-5b2c-abec-13dbe4b21de7,650,513-1024,512,True,606,510,True,42,0,FULLY_TRUNCATED
