model,kind,item_id,session_id,source_turn_id,raw_text_token_count,official_instruction_added,selected_max_length,truncated
aspire/acge_text_embedding,Page,a640b50d-59f1-5355-8579-dc5aea979edb,S002,S002-Q041,448,False,1024,False
aspire/acge_text_embedding,Page,2dfdba20-c49c-5149-9993-09aa190738c7,S002,S002-Q042,486,False,1024,False
aspire/acge_text_embedding,Page,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002,S002-Q043,529,False,1024,False
aspire/acge_text_embedding,Page,36301016-21e0-53b6-967a-92affd6e0d68,S002,S002-Q044,630,False,1024,False
aspire/acge_text_embedding,Page,d728a292-3080-5624-89ff-d8e05d09e8ca,S002,S002-Q045,636,False,1024,False
aspire/acge_text_embedding,Page,03cfc256-5474-5a94-b3bd-8ae0e1468cfd,S002,S002-Q046,692,False,1024,False
aspire/acge_text_embedding,Page,861902a4-c7d1-5058-ac04-5824babf2b61,S002,S002-Q047,650,False,1024,False
aspire/acge_text_embedding,Page,a56a2b47-0045-5d3d-952d-ef79edf44e4a,S002,S002-Q048,673,False,1024,False
aspire/acge_text_embedding,Page,8dcae915-8670-5f3e-802c-be0b10d761fa,S002,S002-Q049,528,False,1024,False
aspire/acge_text_embedding,Page,e40ec65e-2907-515a-b1dd-3bec39109106,S002,S002-Q050,655,False,1024,False
aspire/acge_text_embedding,Page,2e583969-bc65-5074-a7fe-0424438cd092,S002,S002-Q051,587,False,1024,False
aspire/acge_text_embedding,Page,08071793-33f2-5c8e-835a-34f1835a0973,S002,S002-Q052,638,False,1024,False
aspire/acge_text_embedding,Page,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002,S002-Q053,628,False,1024,False
aspire/acge_text_embedding,Page,5490b9a4-3ee1-5d2c-913f-1fb3ae921f10,S002,S002-Q054,624,False,1024,False
aspire/acge_text_embedding,Page,d04ea023-63be-523c-b994-bdc3c3fd0ae4,S002,S002-Q055,640,False,1024,False
aspire/acge_text_embedding,Page,166328f1-a89c-5b18-8a53-02ac909e0849,S002,S002-Q056,525,False,1024,False
aspire/acge_text_embedding,Page,3549589e-05fe-5631-9385-5379f8dd4396,S002,S002-Q057,527,False,1024,False
aspire/acge_text_embedding,Page,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002,S002-Q058,656,False,1024,False
aspire/acge_text_embedding,Page,f176798e-99a6-575c-b7a4-f45d3d408206,S002,S002-Q059,511,False,1024,False
aspire/acge_text_embedding,Page,90f899e0-16f7-540e-9302-625439620445,S002,S002-Q060,509,False,1024,False
aspire/acge_text_embedding,Page,94326378-5fde-5bb5-85fb-a77991b3ac6c,S002,S002-Q061,531,False,1024,False
aspire/acge_text_embedding,Page,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002,S002-Q062,510,False,1024,False
aspire/acge_text_embedding,Page,235cb91c-034a-5c73-9bd4-32f5b41e13d7,S002,S002-Q063,495,False,1024,False
aspire/acge_text_embedding,Page,95dce1c8-76eb-5c10-b622-b77e03c00526,S002,S002-Q064,527,False,1024,False
aspire/acge_text_embedding,Page,9f5d73d5-494c-575c-aba9-157919723349,S002,S002-Q065,490,False,1024,False
aspire/acge_text_embedding,Page,9a8b3ff4-8cf9-50ac-af2f-678281152fda,S002,S002-Q066,661,False,1024,False
aspire/acge_text_embedding,Page,6c3ee9bb-44fd-58de-b46f-7a5cf21d7d48,S002,S002-Q067,471,False,1024,False
aspire/acge_text_embedding,Page,e1d7ccc6-3641-51f9-9153-f81df340dffc,S002,S002-Q068,502,False,1024,False
aspire/acge_text_embedding,Page,34c298d0-573d-5bb7-860c-2b5d53e5198e,S002,S002-Q069,453,False,1024,False
aspire/acge_text_embedding,Page,b028245b-2874-5422-8987-0fb8f15a1c45,S002,S002-Q070,622,False,1024,False
aspire/acge_text_embedding,Page,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003,S003-Q001,637,False,1024,False
aspire/acge_text_embedding,Page,3039ff9a-80a9-534e-bac6-7b97cc24a926,S003,S003-Q002,656,False,1024,False
aspire/acge_text_embedding,Page,54c53e7a-2b68-5849-a196-571fccaa0ac3,S003,S003-Q003,697,False,1024,False
aspire/acge_text_embedding,Page,ff050426-ccc1-5faa-8b70-2b3eedf5209b,S003,S003-Q004,647,False,1024,False
aspire/acge_text_embedding,Page,60bc0fda-17d1-5475-9f92-6434dee83888,S003,S003-Q005,652,False,1024,False
aspire/acge_text_embedding,Page,914dcda3-55d6-504a-9159-f6f54938f31f,S003,S003-Q006,680,False,1024,False
aspire/acge_text_embedding,Page,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003,S003-Q007,417,False,1024,False
aspire/acge_text_embedding,Page,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003,S003-Q008,616,False,1024,False
aspire/acge_text_embedding,Page,6acea1bf-012f-53f4-bac8-545da6e86a3e,S003,S003-Q009,541,False,1024,False
aspire/acge_text_embedding,Page,49d340b2-23e8-5b2c-abec-13dbe4b21de7,S003,S003-Q010,652,False,1024,False
aspire/acge_text_embedding,Page,3446dbc5-5d91-5f49-a1fe-1d68979506a4,S003,S003-Q011,456,False,1024,False
aspire/acge_text_embedding,Page,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003,S003-Q012,437,False,1024,False
aspire/acge_text_embedding,Page,3bd00881-7f00-5756-9420-0d2f71ecdc25,S003,S003-Q013,527,False,1024,False
aspire/acge_text_embedding,Page,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003,S003-Q014,510,False,1024,False
aspire/acge_text_embedding,Page,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003,S003-Q015,663,False,1024,False
aspire/acge_text_embedding,Page,25fd6ff3-e933-563b-baa2-5722e21d26fc,S003,S003-Q016,456,False,1024,False
aspire/acge_text_embedding,Page,c2e23686-4871-5c9c-952e-5ac662b6d9bb,S003,S003-Q017,454,False,1024,False
